Part,Label,Item,Color
head,1,skin,#bd8347
head,1,hair,#1b0f03
head,1,eye,#984b11
head,2,skin,#fbd7c8
head,2,hair3,#ddddd5
head,2,hair,#ececec
head,2,eye,#3f84e4
clothes,defendant,skin,#bd8347
clothes,defendant,shirt,#0a8493
clothes,defendant,pants,#5e5d58
clothes,defendant,buttons,#e7d456
head,3,skin,#fae3c7
head,3,hair,#a45806
head,3,eye,#c46122
head,4,skin,#e9d8c5
head,4,hair3,#2a2a26
head,4,hair,#31302b
head,4,eye,#8d4e1c
head,4,glasses,#0a0a0a
head,5,skin,#edd9c1
head,5,hair3,#9e3500
head,5,hair,#d8610e
head,5,eye,#14653a
clothes,inmate,skin,#edd9c1
clothes,inmate,shirt,#f8990c
clothes,judge,skin,#cd9c1
clothes,judge,shirt,#4f4f4f
clothes,judge,tie,#ecece1
clothes,judge,gavel,#845016
clothes,lawyer,skin,#ecd8c1
clothes,lawyer,shirt,#e5eff9
clothes,lawyer,tie,#c80b1b
clothes,lawyer,suit,#002f83
clothes,lawyer,shoes,#201209
clothes,lawyer,file,#c19501
clothes,police,skin,#f2c083
clothes,police,hilights,#122769
clothes,police,suit,#11476b
clothes,police,shoes_accessories,#444748
clothes,scientist,pants,#0e448d
clothes,scientist,shirt,#ac5008
clothes,scientist,coat,#f0ece1
head,6,skin,#bd8247
head,6,hair2,#9a642e
head,6,hair3,#533a24
head,6,hair,#40250a
head,6,eye,#b56415
head,7,skin,#8a3e06
head,7,hair,#502d13
head,7,hair2,#6d4527
head,7,hair3,#261409
head,7,eye,#502d13
head,8,skin,#ecd8c1
head,8,hair,#cac72c
head,8,eye,#1d6f44
head,9,skin,#ecd9c1
head,9,hair,#f0ece1
head,10,skin,#fbd7c8
head,10,hair,#1b0f03
head,10,eye,#aac6ec
head,11,skin,#903d12
head,11,hair,#3e1910
head,11,hair2,#702f0d
head,11,eye,#6f442a
head,12,skin,#fbd7c8
head,12,hair,#6d1414
head,12,eye,#098e3d
head,13,skin,#d88d65
head,13,hair3,#a19251
head,13,hair,#ebdc97
head,13,eye,#2291a4
head,14,skin,#fbd7c7
head,14,hair,#eb8925
head,14,eye,#1ec57a
head,16,skin,#6a3013
head,16,hair,#635b58
head,16,eye,#864729
head,17,skin,#fbd8c8
head,17,hair,#391e15
head,17,eye,#768f98
head,17,glasses,#0a0a0a
head,18,skin,#bd8247
head,18,hair,#3e190f
head,18,eye,#342216
head,19,skin,#fae2c7
head,19,hair3,#e445d7
head,19,hair,#1b0f03
head,19,eye,#980d8c
